what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1254418756484
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1254418756484
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1254418756484
os,sysinfo,,,"win32",1254418756500
arch,sysinfo,,,"x86",1254418756500
ws,sysinfo,,,"win32",1254418756500
locale,sysinfo,,,"en_US",1254418756500
processors,sysinfo,,,"4",1254418756500
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1254418756500
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1254418756500
java.specification.name,sysinfo,,,"Java Platform API Specification",1254418756500
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254418756500
java.specification.version,sysinfo,,,"1.6",1254418756500
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1254418756500
java.version,sysinfo,,,"1.6.0_16",1254418756500
java.vm.info,sysinfo,,,"mixed mode",1254418756500
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1254418756500
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1254418756500
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254418756500
java.vm.specification.version,sysinfo,,,"1.0",1254418756500
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1254418756500
java.vm.version,sysinfo,,,"14.2-b01",1254418756500
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1254418808718
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1254418808765
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1254418808781
