what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1254418814859
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1254418814859
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1254418814906
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1254418814906
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1254418814906
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1254418814921
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254418815000
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1254418827687
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1254418857093
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254418858359
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1254418858359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254418860187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254419058593
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1254419058609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254419058859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254419180968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254419182265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254419184937
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254419185015
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1254419185078
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1254419185218
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1254419185218
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1254419185218
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1254419185218
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1254419185218
